title,ingredients_clean,instructions_clean,label
Chocolate Pot de Crème (with a Secret Ingredient!),1mediumsweet potato cut into 1inch cubes1 medium sweet potato is 23 lb and yields 2 cups or 300 g cubed and 1 cup or 200 g mashed 34cupdark chocolate chips meltedensure vegandairyfree as needed  we likeenjoy life 13cupmaple syrup 18tspsea salt 1tspvanilla extract coconut whipped cream fresh berries shaved dark chocolate,place the peeled cubed sweet potato into asteamer basketover boiling water cover and steam until very soft it should be easy to poke with a fork about 1015 minutes meanwhile melt the chocolate chips by adding them to a small glass or metal bowl and carefully placing the bowl on top of a saucepan of simmering water heat stirring occasionally with a spatula or spoon until melted and no lumps remain about 5 minutes you can also melt them in a heatproof bowl in the microwave in 20second increments remove from heat mash the sweet potato measure out 1 cup 200 g of it adjust amount if altering the default number of servings and add it to ahighspeed blenderwith the maple syrup sea salt and vanilla extract you can use any extra sweet potato as asnackor freeze for adding tosmoothiesor other desserts blend on high until smooth and creamy next slowly drizzle in the melted chocolate and blend on high for at least 1 minute scraping down the sides a few times until the mixture is completely smooth it should look like silky melted chocolate divide the mixture into 4 small ramekins or glasses we like shallow wide dessert glasses likethese and gently shake the jarscups to even out the tops refrigerate for at least 1 hour before enjoying serve chilled on its own or topped with optionalcoconut whipped cream shaved dark chocolate andor fresh berries store any leftovers covered in the refrigerator for up to 45 days or in the freezer for 1 month or longer,dessert
Chocolate Pot de Crème (with a Secret Ingredient!),1mediumsweet potato cut into 1inch cubes1 medium sweet potato is 23 lb and yields 2 cups or 300 g cubed and 1 cup or 200 g mashed 34cupdark chocolate chips meltedensure vegandairyfree as needed  we likeenjoy life 13cupmaple syrup 18tspsea salt 1tspvanilla extract coconut whipped cream fresh berries shaved dark chocolate,place the peeled cubed sweet potato into asteamer basketover boiling water cover and steam until very soft it should be easy to poke with a fork about 1015 minutes meanwhile melt the chocolate chips by adding them to a small glass or metal bowl and carefully placing the bowl on top of a saucepan of simmering water heat stirring occasionally with a spatula or spoon until melted and no lumps remain about 5 minutes you can also melt them in a heatproof bowl in the microwave in 20second increments remove from heat mash the sweet potato measure out 1 cup 200 g of it adjust amount if altering the default number of servings and add it to ahighspeed blenderwith the maple syrup sea salt and vanilla extract you can use any extra sweet potato as asnackor freeze for adding tosmoothiesor other desserts blend on high until smooth and creamy next slowly drizzle in the melted chocolate and blend on high for at least 1 minute scraping down the sides a few times until the mixture is completely smooth it should look like silky melted chocolate divide the mixture into 4 small ramekins or glasses we like shallow wide dessert glasses likethese and gently shake the jarscups to even out the tops refrigerate for at least 1 hour before enjoying serve chilled on its own or topped with optionalcoconut whipped cream shaved dark chocolate andor fresh berries store any leftovers covered in the refrigerator for up to 45 days or in the freezer for 1 month or longer,dessert
1-Bowl Banana Chocolate Pecan Muffins (Vegan + GF),2tbspflaxseed mealto make flax egg 14cupwaterto make flax egg 2mediumripe bananas2 bananas yield 34 cup or 210 g mashed 12cupmaple syrupor agave nectar 14cupavocado oil melted coconut oil or vegan butter 1 ½tspbaking soda 1tspvanilla extract 12tspsea salt 1cupmb 11 gf blendor other gf blend or allpurpose flour  see notes 1cupalmond flouror almond meal 23cupraw pecans roughly choppedor sub walnuts 23cupdark chocolate chipsplus more for topping  ensure vegandairyfree as needed  we likeenjoy life,preheat the oven to 350 degrees f 176 c and lightly grease a standardsize muffin tin or add paper liners set aside to a large mixing bowl add flaxseed meal and water let sit for 5 minutes to thicken  these are your flax eggs add the bananas and mash together with a fork or potato masher until mostly smooth add the maple syrup oil baking soda vanilla and sea salt whisk for about 30 seconds until well combined add the glutenfree flour blend and almond flour or almond meal stir with a wooden spoon or spatula until just combined fold in the pecans and chocolate chips divide the batter evenly among muffin tins filling almost to the tops optionally top with a few sprinkles of chocolate chips bake for 2528 minutes or until the tops are golden brown and a toothpick inserted comes out clean let cool for 5 minutes in the muffin tin then gently remove and let cool completely on a cooling rack once cooled store in a covered container at room temperature for 34 days in the refrigerator for 1 week or in the freezer for up to 1 month,entrée
1-Bowl Banana Chocolate Pecan Muffins (Vegan + GF),2tbspflaxseed mealto make flax egg 14cupwaterto make flax egg 2mediumripe bananas2 bananas yield 34 cup or 210 g mashed 12cupmaple syrupor agave nectar 14cupavocado oil melted coconut oil or vegan butter 1 ½tspbaking soda 1tspvanilla extract 12tspsea salt 1cupmb 11 gf blendor other gf blend or allpurpose flour  see notes 1cupalmond flouror almond meal 23cupraw pecans roughly choppedor sub walnuts 23cupdark chocolate chipsplus more for topping  ensure vegandairyfree as needed  we likeenjoy life,preheat the oven to 350 degrees f 176 c and lightly grease a standardsize muffin tin or add paper liners set aside to a large mixing bowl add flaxseed meal and water let sit for 5 minutes to thicken  these are your flax eggs add the bananas and mash together with a fork or potato masher until mostly smooth add the maple syrup oil baking soda vanilla and sea salt whisk for about 30 seconds until well combined add the glutenfree flour blend and almond flour or almond meal stir with a wooden spoon or spatula until just combined fold in the pecans and chocolate chips divide the batter evenly among muffin tins filling almost to the tops optionally top with a few sprinkles of chocolate chips bake for 2528 minutes or until the tops are golden brown and a toothpick inserted comes out clean let cool for 5 minutes in the muffin tin then gently remove and let cool completely on a cooling rack once cooled store in a covered container at room temperature for 34 days in the refrigerator for 1 week or in the freezer for up to 1 month,entrée
Creamy Vegan White Bean Chili,2cupswater 23cupraw cashews 2tbspolive oilor avocado oil 1cupdiced white or yellow onion1 medium onion yields 1 cup or 130 g 4clovesgarlic minced 1tspground cumin 341tspsea salt 14tspblack pepper 1pinchcayenneplus more to taste 24oz cansdiced green chileswe used hot  or sub 12 cup diced fresh roasted hatch chiles 315oz canswhite beans drained and rinsedwe like cannellini  or sub 4 ½ cupshomemade 1cupfrozen cornor sub drained and rinsed canned corn 2cupsbaby spinach baby kale or chopped kale perfect vegan cornbreadorglutenfree freshly chopped cilantro thinly sliced green onion hot sauce,cashew milk to ahighspeed blender add water and cashews blend on high until smooth and creamy 12 minutes set aside heat a large pot over medium heat once hot add olive oil onions and garlic cook until the onions are soft and translucent about 5 minutes add the cumin sea salt starting with the lesser amount black pepper and cayenne cook for 1 more minute until fragrant add the green chiles drained and rinsed beans and corn stir to combine stir in the cashew milk and bring the mixture to a light boil lower the heat to low and simmer for 10 minutes until thickened stirring occasionally if the chili gets too thick you can add water or dairyfree milk as needed once the 10 minutes is up taste and adjust as needed adding more salt for overall flavor or cayenne for heat once the chili is done cooking remove it from the heat and add in your desired greens stir to wilt serve warm with cornbread cilantro green onions andor hot sauce all optional leftover soup will keep in an airtight container in the refrigerator for up to 34 days or in the freezer for 1 month or longer reheat in the microwave or on the stovetop until hot adding water to thin as needed,entrée
Creamy Vegan White Bean Chili,2cupswater 23cupraw cashews 2tbspolive oilor avocado oil 1cupdiced white or yellow onion1 medium onion yields 1 cup or 130 g 4clovesgarlic minced 1tspground cumin 341tspsea salt 14tspblack pepper 1pinchcayenneplus more to taste 24oz cansdiced green chileswe used hot  or sub 12 cup diced fresh roasted hatch chiles 315oz canswhite beans drained and rinsedwe like cannellini  or sub 4 ½ cupshomemade 1cupfrozen cornor sub drained and rinsed canned corn 2cupsbaby spinach baby kale or chopped kale perfect vegan cornbreadorglutenfree freshly chopped cilantro thinly sliced green onion hot sauce,cashew milk to ahighspeed blender add water and cashews blend on high until smooth and creamy 12 minutes set aside heat a large pot over medium heat once hot add olive oil onions and garlic cook until the onions are soft and translucent about 5 minutes add the cumin sea salt starting with the lesser amount black pepper and cayenne cook for 1 more minute until fragrant add the green chiles drained and rinsed beans and corn stir to combine stir in the cashew milk and bring the mixture to a light boil lower the heat to low and simmer for 10 minutes until thickened stirring occasionally if the chili gets too thick you can add water or dairyfree milk as needed once the 10 minutes is up taste and adjust as needed adding more salt for overall flavor or cayenne for heat once the chili is done cooking remove it from the heat and add in your desired greens stir to wilt serve warm with cornbread cilantro green onions andor hot sauce all optional leftover soup will keep in an airtight container in the refrigerator for up to 34 days or in the freezer for 1 month or longer reheat in the microwave or on the stovetop until hot adding water to thin as needed,entrée
Easy Winter Fruit Salad (1 Bowl!),2mediumoranges segmentedsupremed and cut into 121inch piecessee instructions 1smallhoneycrisp apple cut into 121inch piecesor another sweet crunchy variety like fuji 2firm justripekiwis peeled and cut into 12inch pieces 1tbsplime juiceor lemon but we find lime adds more flavor 1tbsphoneyor maple syrup if vegan 13cuppomegranate arilslearn the best way to cut a pomegranatehere 12tbspfreshly chopped mint leaves,orange to segment an orange place it on a cutting board and use a sharp knife to cut off the top and bottom removing the peel and pith so the fruit is exposed then set one of the flat sides on the cutting board and cut off the remaining peel and pith rotating the orange as you go cradle the peeled orange in your nondominant hand and carefully cut in a rocking motion just inside the membranes creating slices the seeds and membranes will no longer be attached to the slices once you have segmented slices cut the slices into 121inch pieces for the salad alternatively if using a seedless orange instead of cutting into segments you can place the peeled orange on the cutting board cut it in half then thinly slice and cut into bitesized triangles apple we like to leave the peel on for ease and fiber cut the apple into 1inch slices remove the core and then cut into 121inch pieces kiwi slice off the ends from the kiwi then place one of the cut ends on the cutting board and carefully slice off the peel cut the kiwi into 121inch pieces to a mixing bowl or serving platter add the chopped orange segments apple and kiwi add lime juice and honey and toss gently until evenly coated and no clumps of honey remain garnish with pomegranate arils andor chopped mint both optional but so pretty best when fresh leftover salad without the mint will keep in the refrigerator for 23 days as the citrus helps prevent the apple from browning the mint turns brown within 24 hours and is best added just before serving,entrée
Easy Winter Fruit Salad (1 Bowl!),2mediumoranges segmentedsupremed and cut into 121inch piecessee instructions 1smallhoneycrisp apple cut into 121inch piecesor another sweet crunchy variety like fuji 2firm justripekiwis peeled and cut into 12inch pieces 1tbsplime juiceor lemon but we find lime adds more flavor 1tbsphoneyor maple syrup if vegan 13cuppomegranate arilslearn the best way to cut a pomegranatehere 12tbspfreshly chopped mint leaves,orange to segment an orange place it on a cutting board and use a sharp knife to cut off the top and bottom removing the peel and pith so the fruit is exposed then set one of the flat sides on the cutting board and cut off the remaining peel and pith rotating the orange as you go cradle the peeled orange in your nondominant hand and carefully cut in a rocking motion just inside the membranes creating slices the seeds and membranes will no longer be attached to the slices once you have segmented slices cut the slices into 121inch pieces for the salad alternatively if using a seedless orange instead of cutting into segments you can place the peeled orange on the cutting board cut it in half then thinly slice and cut into bitesized triangles apple we like to leave the peel on for ease and fiber cut the apple into 1inch slices remove the core and then cut into 121inch pieces kiwi slice off the ends from the kiwi then place one of the cut ends on the cutting board and carefully slice off the peel cut the kiwi into 121inch pieces to a mixing bowl or serving platter add the chopped orange segments apple and kiwi add lime juice and honey and toss gently until evenly coated and no clumps of honey remain garnish with pomegranate arils andor chopped mint both optional but so pretty best when fresh leftover salad without the mint will keep in the refrigerator for 23 days as the citrus helps prevent the apple from browning the mint turns brown within 24 hours and is best added just before serving,entrée
Chocolate Tahini Caramels (No Candy Thermometer!),2tbspvegan butterwe likemiyokos dairy butter would also work if not vegandairyfree 13cupmaple syrup 1tspvanilla extract 12tspfine sea salt 23cuptahinicreamy drippy  find our tahini reviewhere 1cupdark chocolate choppeduse less if drizzling vs dunking  theyre delicious without chocolate too  chocolate chips also work ensure dairyfree as needed flaky sea salt sesame seeds,line a loaf pan or another smallish rectangular container with parchment paper we used an 8 x 4inch loaf pan in a small saucepan combine the vegan butter maple syrup vanilla extract and sea salt dont add the tahini yet whisking almost constantly bring the mixture to a boil over medium heat and continue cooking for about 2 minutes it will be very foamy  thats normal and good remove from heat add the tahini and whisk until well combined and thickened pour tahini mixture into the prepared pan and shake the pan to spread evenly place in the freezer for 12 hours until solidified the caramels will be a little tender but if too difficult to handle place back in the freezer for 30 minutes chocolate once the caramels are almost done chilling melt the chocolate place the chocolate into a small microwavable bowl and microwave in 30second intervals stirring in between to prevent burning until smooth and melted you can also melt on the stovetop by adding chocolate to a small glass or metal bowl and carefully placing it over 1 inch of simmering water in a small saucepan then stirring until melted set aside to cool slightly line a large plate or something similar that will fit in your freezer with parchment or wax paper and set nearby once the caramels have solidified cut into 1 inch pieces you can enjoy them plain but we like dunkingdrizzling in the chocolate working quickly so they dont get too soft and adding flaky sea salt and sesame seeds so cute after cutting and coating in chocolate place the caramels back in the freezer to chill for 3045 minutes for more firm caramels or in the refrigerator for 23 hours for soft caramels these caramels will melt at room temperature so they need to be kept in the freezer or refrigerator until ready to enjoy transfer to a sealed container where they will keep for 1 month or longer in the freezer or up to 2 weeks in the refrigerator,dessert
Chocolate Tahini Caramels (No Candy Thermometer!),2tbspvegan butterwe likemiyokos dairy butter would also work if not vegandairyfree 13cupmaple syrup 1tspvanilla extract 12tspfine sea salt 23cuptahinicreamy drippy  find our tahini reviewhere 1cupdark chocolate choppeduse less if drizzling vs dunking  theyre delicious without chocolate too  chocolate chips also work ensure dairyfree as needed flaky sea salt sesame seeds,line a loaf pan or another smallish rectangular container with parchment paper we used an 8 x 4inch loaf pan in a small saucepan combine the vegan butter maple syrup vanilla extract and sea salt dont add the tahini yet whisking almost constantly bring the mixture to a boil over medium heat and continue cooking for about 2 minutes it will be very foamy  thats normal and good remove from heat add the tahini and whisk until well combined and thickened pour tahini mixture into the prepared pan and shake the pan to spread evenly place in the freezer for 12 hours until solidified the caramels will be a little tender but if too difficult to handle place back in the freezer for 30 minutes chocolate once the caramels are almost done chilling melt the chocolate place the chocolate into a small microwavable bowl and microwave in 30second intervals stirring in between to prevent burning until smooth and melted you can also melt on the stovetop by adding chocolate to a small glass or metal bowl and carefully placing it over 1 inch of simmering water in a small saucepan then stirring until melted set aside to cool slightly line a large plate or something similar that will fit in your freezer with parchment or wax paper and set nearby once the caramels have solidified cut into 1 inch pieces you can enjoy them plain but we like dunkingdrizzling in the chocolate working quickly so they dont get too soft and adding flaky sea salt and sesame seeds so cute after cutting and coating in chocolate place the caramels back in the freezer to chill for 3045 minutes for more firm caramels or in the refrigerator for 23 hours for soft caramels these caramels will melt at room temperature so they need to be kept in the freezer or refrigerator until ready to enjoy transfer to a sealed container where they will keep for 1 month or longer in the freezer or up to 2 weeks in the refrigerator,dessert
